# id	description_da_full	description_en	confidence
840	Dermato-venerologi, gonokok forsendelse 1	Dermato-venereology, gonococcus specimen dispatch 1	medium
853	Dermato-venerologi, intralæsionel injektion	Dermato-venereology, intralesional injection	high
855	Dermato-venerologi, karmodermærker	Dermato-venereology, vascular naevi (vascular birthmarks)	low
860	Dermato-venerologi, kørselsgodtgørelse I	Dermato-venereology, mileage allowance I	high
861	Dermato-venerologi, laserbehandling keloid (amt 60)	Dermato-venereology, laser treatment of keloid (county 60)	medium
866	Dermato-venerologi, mikroskopi farvet sekret 3	Dermato-venereology, microscopy of stained secretion 3	high
867	Dermato-venerologi, mikroskopi hudsvamp 5	Dermato-venereology, microscopy of skin fungus 5	high
868	Dermato-venerologi, mikroskopi ufarvet sekret 3	Dermato-venereology, microscopy of unstained secretion 3	high
870	Dermato-venerologi, multiple aktiniske, følgende operation	Dermato-venereology, multiple actinic (keratoses), subsequent operation	medium
871	Dermato-venerologi, måling perifert blodtryk (§3, amt 15)	Dermato-venereology, measurement of peripheral blood pressure (§3, county 15)	medium
872	Dermato-venerologi, mørkefeltsmikroskopi 5	Dermato-venereology, darkfield microscopy 5	high
875	Dermato-venerologi, overlæbe per behandling	Dermato-venereology, upper lip per treatment	high
876	Dermato-venerologi, PDT-behandling cancerpatient	Dermato-venereology, photodynamic therapy (PDT) treatment, cancer patient	high
880	Dermato-venerologi, rensning og forbinding sår	Dermato-venereology, cleaning and dressing of wound	high
882	Dermato-venerologi, scleroserende injektion	Dermato-venereology, sclerosing injection	high
883	Dermato-venerologi, sekret-gonokok, ekspedition 1	Dermato-venereology, secretion-gonococcus, handling 1	medium
898	Dermato-venerologi, telefonrådgivning praktiserende læge	Dermato-venereology, telephone advice from general practitioner	high
899	Dermato-venerologi, tolk i forbindelse med konsultation 3	Dermato-venereology, interpreter in connection with consultation 3	high
903	Dermato-venerologi, urinundersøgelse stix 1	Dermato-venereology, urine examination, dipstick 1	high
904	Dermato-venerologi, venerologisk 1. konsultation	Dermato-venereology, venereological 1st consultation	high
905	Dermato-venerologi, venerologisk 2. konsultation	Dermato-venereology, venereological 2nd consultation	high
906	Dermato-venerologi, venerologisk senere konsultation	Dermato-venereology, venereological subsequent consultation	high
907	Dermato-venerologi, venerologisk telefonkonsultation	Dermato-venereology, venereological telephone consultation	high
908	Dermato-venerologi, visitation, indkaldelse af patienter	Dermato-venereology, triage, summoning of patients	high
909	Dermato-venerologi, visitation, kautionsbegæring	Dermato-venereology, triage, surety (guarantee) request	medium
915	Dermato-venerologi, fjernelse af karforandringer	Dermato-venereology, removal of vascular lesions	high
